# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr15	assembled-molecule	7P	Chromosome	CM019114.1	<>	na	Primary Assembly	34737199	na
chr8	assembled-molecule	8O	Chromosome	CM019115.1	<>	na	Primary Assembly	63281793	na
chr16	assembled-molecule	8P	Chromosome	CM019116.1	<>	na	Primary Assembly	46487066	na
scaffold_1	unplaced-scaffold	na	na	VCDJ01000001.1	<>	na	Primary Assembly	6022	na
scaffold_2	unplaced-scaffold	na	na	VCDJ01000002.1	<>	na	Primary Assembly	6325	na
scaffold_3	unplaced-scaffold	na	na	VCDJ01000003.1	<>	na	Primary Assembly	12327	na
scaffold_4	unplaced-scaffold	na	na	VCDJ01000004.1	<>	na	Primary Assembly	4382	na
scaffold_5	unplaced-scaffold	na	na	VCDJ01000005.1	<>	na	Primary Assembly	7910	na
scaffold_6	unplaced-scaffold	na	na	VCDJ01000006.1	<>	na	Primary Assembly	12286	na
scaffold_7	unplaced-scaffold	na	na	VCDJ01000007.1	<>	na	Primary Assembly	12204	na
scaffold_8	unplaced-scaffold	na	na	VCDJ01000008.1	<>	na	Primary Assembly	2498	na
scaffold_9	unplaced-scaffold	na	na	VCDJ01000009.1	<>	na	Primary Assembly	2118	na
scaffold_10	unplaced-scaffold	na	na	VCDJ01000010.1	<>	na	Primary Assembly	2373	na
scaffold_11	unplaced-scaffold	na	na	VCDJ01000011.1	<>	na	Primary Assembly	1073	na
scaffold_12	unplaced-scaffold	na	na	VCDJ01000012.1	<>	na	Primary Assembly	471	na
scaffold_13	unplaced-scaffold	na	na	VCDJ01000013.1	<>	na	Primary Assembly	539	na
scaffold_14	unplaced-scaffold	na	na	VCDJ01000014.1	<>	na	Primary Assembly	1733	na
scaffold_15	unplaced-scaffold	na	na	VCDJ01000015.1	<>	na	Primary Assembly	2402	na
scaffold_16	unplaced-scaffold	na	na	VCDJ01000016.1	<>	na	Primary Assembly	1161	na
scaffold_17	unplaced-scaffold	na	na	VCDJ01000017.1	<>	na	Primary Assembly	6445	na
scaffold_18	unplaced-scaffold	na	na	VCDJ01000018.1	<>	na	Primary Assembly	11923	na
scaffold_19	unplaced-scaffold	na	na	VCDJ01000019.1	<>	na	Primary Assembly	11610	na
scaffold_20	unplaced-scaffold	na	na	VCDJ01000020.1	<>	na	Primary Assembly	492	na
scaffold_21	unplaced-scaffold	na	na	VCDJ01000021.1	<>	na	Primary Assembly	12112	na
scaffold_22	unplaced-scaffold	na	na	VCDJ01000022.1	<>	na	Primary Assembly	1678	na
scaffold_23	unplaced-scaffold	na	na	VCDJ01000023.1	<>	na	Primary Assembly	7813	na
scaffold_24	unplaced-scaffold	na	na	VCDJ01000024.1	<>	na	Primary Assembly	12066	na
scaffold_25	unplaced-scaffold	na	na	VCDJ01000025.1	<>	na	Primary Assembly	12030	na
scaffold_26	unplaced-scaffold	na	na	VCDJ01000026.1	<>	na	Primary Assembly	12055	na
scaffold_27	unplaced-scaffold	na	na	VCDJ01000027.1	<>	na	Primary Assembly	2090	na
scaffold_28	unplaced-scaffold	na	na	VCDJ01000028.1	<>	na	Primary Assembly	4017	na
scaffold_29	unplaced-scaffold	na	na	VCDJ01000029.1	<>	na	Primary Assembly	818	na
scaffold_30	unplaced-scaffold	na	na	VCDJ01000030.1	<>	na	Primary Assembly	2054	na
scaffold_31	unplaced-scaffold	na	na	VCDJ01000031.1	<>	na	Primary Assembly	3471	na
scaffold_32	unplaced-scaffold	na	na	VCDJ01000032.1	<>	na	Primary Assembly	317	na
scaffold_33	unplaced-scaffold	na	na	VCDJ01000033.1	<>	na	Primary Assembly	6206	na
scaffold_34	unplaced-scaffold	na	na	VCDJ01000034.1	<>	na	Primary Assembly	4721	na
scaffold_35	unplaced-scaffold	na	na	VCDJ01000035.1	<>	na	Primary Assembly	318	na
scaffold_36	unplaced-scaffold	na	na	VCDJ01000036.1	<>	na	Primary Assembly	3069	na
scaffold_37	unplaced-scaffold	na	na	VCDJ01000037.1	<>	na	Primary Assembly	879	na
scaffold_38	unplaced-scaffold	na	na	VCDJ01000038.1	<>	na	Primary Assembly	11030	na
scaffold_39	unplaced-scaffold	na	na	VCDJ01000039.1	<>	na	Primary Assembly	11982	na
scaffold_40	unplaced-scaffold	na	na	VCDJ01000040.1	<>	na	Primary Assembly	8628	na
scaffold_41	unplaced-scaffold	na	na	VCDJ01000041.1	<>	na	Primary Assembly	703	na
scaffold_42	unplaced-scaffold	na	na	VCDJ01000042.1	<>	na	Primary Assembly	2615	na
scaffold_43	unplaced-scaffold	na	na	VCDJ01000043.1	<>	na	Primary Assembly	3869	na
scaffold_44	unplaced-scaffold	na	na	VCDJ01000044.1	<>	na	Primary Assembly	287	na
scaffold_45	unplaced-scaffold	na	na	VCDJ01000045.1	<>	na	Primary Assembly	7855	na
scaffold_46	unplaced-scaffold	na	na	VCDJ01000046.1	<>	na	Primary Assembly	2931	na
scaffold_47	unplaced-scaffold	na	na	VCDJ01000047.1	<>	na	Primary Assembly	1303	na
scaffold_48	unplaced-scaffold	na	na	VCDJ01000048.1	<>	na	Primary Assembly	1790	na
scaffold_49	unplaced-scaffold	na	na	VCDJ01000049.1	<>	na	Primary Assembly	11927	na
scaffold_50	unplaced-scaffold	na	na	VCDJ01000050.1	<>	na	Primary Assembly	11963	na
scaffold_51	unplaced-scaffold	na	na	VCDJ01000051.1	<>	na	Primary Assembly	4233	na
scaffold_52	unplaced-scaffold	na	na	VCDJ01000052.1	<>	na	Primary Assembly	1433	na
scaffold_53	unplaced-scaffold	na	na	VCDJ01000053.1	<>	na	Primary Assembly	11946	na
scaffold_54	unplaced-scaffold	na	na	VCDJ01000054.1	<>	na	Primary Assembly	1821	na
scaffold_55	unplaced-scaffold	na	na	VCDJ01000055.1	<>	na	Primary Assembly	4023	na
scaffold_56	unplaced-scaffold	na	na	VCDJ01000056.1	<>	na	Primary Assembly	1648	na
scaffold_57	unplaced-scaffold	na	na	VCDJ01000057.1	<>	na	Primary Assembly	1734	na
scaffold_58	unplaced-scaffold	na	na	VCDJ01000058.1	<>	na	Primary Assembly	1913	na
scaffold_59	unplaced-scaffold	na	na	VCDJ01000059.1	<>	na	Primary Assembly	6799	na
scaffold_60	unplaced-scaffold	na	na	VCDJ01000060.1	<>	na	Primary Assembly	2642	na
scaffold_61	unplaced-scaffold	na	na	VCDJ01000061.1	<>	na	Primary Assembly	7501	na
scaffold_62	unplaced-scaffold	na	na	VCDJ01000062.1	<>	na	Primary Assembly	2338	na
scaffold_63	unplaced-scaffold	na	na	VCDJ01000063.1	<>	na	Primary Assembly	2080	na
scaffold_64	unplaced-scaffold	na	na	VCDJ01000064.1	<>	na	Primary Assembly	8307	na
scaffold_65	unplaced-scaffold	na	na	VCDJ01000065.1	<>	na	Primary Assembly	3614	na
scaffold_66	unplaced-scaffold	na	na	VCDJ01000066.1	<>	na	Primary Assembly	7959	na
scaffold_67	unplaced-scaffold	na	na	VCDJ01000067.1	<>	na	Primary Assembly	2416	na
scaffold_68	unplaced-scaffold	na	na	VCDJ01000068.1	<>	na	Primary Assembly	1829	na
scaffold_69	unplaced-scaffold	na	na	VCDJ01000069.1	<>	na	Primary Assembly	2202	na
scaffold_70	unplaced-scaffold	na	na	VCDJ01000070.1	<>	na	Primary Assembly	1850	na
scaffold_71	unplaced-scaffold	na	na	VCDJ01000071.1	<>	na	Primary Assembly	1731	na
scaffold_72	unplaced-scaffold	na	na	VCDJ01000072.1	<>	na	Primary Assembly	5236	na
scaffold_73	unplaced-scaffold	na	na	VCDJ01000073.1	<>	na	Primary Assembly	3882	na
scaffold_74	unplaced-scaffold	na	na	VCDJ01000074.1	<>	na	Primary Assembly	11763	na
scaffold_75	unplaced-scaffold	na	na	VCDJ01000075.1	<>	na	Primary Assembly	2754	na
scaffold_76	unplaced-scaffold	na	na	VCDJ01000076.1	<>	na	Primary Assembly	2474	na
scaffold_77	unplaced-scaffold	na	na	VCDJ01000077.1	<>	na	Primary Assembly	5661	na
scaffold_78	unplaced-scaffold	na	na	VCDJ01000078.1	<>	na	Primary Assembly	6138	na
scaffold_79	unplaced-scaffold	na	na	VCDJ01000079.1	<>	na	Primary Assembly	6072	na
scaffold_80	unplaced-scaffold	na	na	VCDJ01000080.1	<>	na	Primary Assembly	5709	na
scaffold_81	unplaced-scaffold	na	na	VCDJ01000081.1	<>	na	Primary Assembly	1136	na
scaffold_82	unplaced-scaffold	na	na	VCDJ01000082.1	<>	na	Primary Assembly	2412	na
scaffold_83	unplaced-scaffold	na	na	VCDJ01000083.1	<>	na	Primary Assembly	4240	na
scaffold_84	unplaced-scaffold	na	na	VCDJ01000084.1	<>	na	Primary Assembly	3876	na
scaffold_85	unplaced-scaffold	na	na	VCDJ01000085.1	<>	na	Primary Assembly	7830	na
scaffold_86	unplaced-scaffold	na	na	VCDJ01000086.1	<>	na	Primary Assembly	1346	na
scaffold_87	unplaced-scaffold	na	na	VCDJ01000087.1	<>	na	Primary Assembly	1660	na
scaffold_88	unplaced-scaffold	na	na	VCDJ01000088.1	<>	na	Primary Assembly	1663	na
scaffold_89	unplaced-scaffold	na	na	VCDJ01000089.1	<>	na	Primary Assembly	1683	na
scaffold_90	unplaced-scaffold	na	na	VCDJ01000090.1	<>	na	Primary Assembly	1341	na
scaffold_91	unplaced-scaffold	na	na	VCDJ01000091.1	<>	na	Primary Assembly	755	na
scaffold_92	unplaced-scaffold	na	na	VCDJ01000092.1	<>	na	Primary Assembly	11704	na
scaffold_93	unplaced-scaffold	na	na	VCDJ01000093.1	<>	na	Primary Assembly	4133	na
scaffold_94	unplaced-scaffold	na	na	VCDJ01000094.1	<>	na	Primary Assembly	503	na
scaffold_95	unplaced-scaffold	na	na	VCDJ01000095.1	<>	na	Primary Assembly	1262	na
scaffold_96	unplaced-scaffold	na	na	VCDJ01000096.1	<>	na	Primary Assembly	1429	na
scaffold_97	unplaced-scaffold	na	na	VCDJ01000097.1	<>	na	Primary Assembly	4300	na
scaffold_98	unplaced-scaffold	na	na	VCDJ01000098.1	<>	na	Primary Assembly	11650	na
scaffold_99	unplaced-scaffold	na	na	VCDJ01000099.1	<>	na	Primary Assembly	2016	na
scaffold_100	unplaced-scaffold	na	na	VCDJ01000100.1	<>	na	Primary Assembly	567	na
scaffold_101	unplaced-scaffold	na	na	VCDJ01000101.1	<>	na	Primary Assembly	3384	na
scaffold_102	unplaced-scaffold	na	na	VCDJ01000102.1	<>	na	Primary Assembly	417	na
scaffold_103	unplaced-scaffold	na	na	VCDJ01000103.1	<>	na	Primary Assembly	1988	na
scaffold_104	unplaced-scaffold	na	na	VCDJ01000104.1	<>	na	Primary Assembly	3466	na
scaffold_105	unplaced-scaffold	na	na	VCDJ01000105.1	<>	na	Primary Assembly	11595	na
scaffold_106	unplaced-scaffold	na	na	VCDJ01000106.1	<>	na	Primary Assembly	673	na
scaffold_107	unplaced-scaffold	na	na	VCDJ01000107.1	<>	na	Primary Assembly	1777	na
scaffold_108	unplaced-scaffold	na	na	VCDJ01000108.1	<>	na	Primary Assembly	6280	na
scaffold_109	unplaced-scaffold	na	na	VCDJ01000109.1	<>	na	Primary Assembly	11590	na
scaffold_110	unplaced-scaffold	na	na	VCDJ01000110.1	<>	na	Primary Assembly	996	na
scaffold_111	unplaced-scaffold	na	na	VCDJ01000111.1	<>	na	Primary Assembly	283	na
scaffold_112	unplaced-scaffold	na	na	VCDJ01000112.1	<>	na	Primary Assembly	1005	na
scaffold_113	unplaced-scaffold	na	na	VCDJ01000113.1	<>	na	Primary Assembly	1944	na
scaffold_114	unplaced-scaffold	na	na	VCDJ01000114.1	<>	na	Primary Assembly	11530	na
scaffold_115	unplaced-scaffold	na	na	VCDJ01000115.1	<>	na	Primary Assembly	11523	na
scaffold_116	unplaced-scaffold	na	na	VCDJ01000116.1	<>	na	Primary Assembly	11371	na
scaffold_117	unplaced-scaffold	na	na	VCDJ01000117.1	<>	na	Primary Assembly	1051	na
scaffold_118	unplaced-scaffold	na	na	VCDJ01000118.1	<>	na	Primary Assembly	740	na
scaffold_119	unplaced-scaffold	na	na	VCDJ01000119.1	<>	na	Primary Assembly	3901	na
scaffold_120	unplaced-scaffold	na	na	VCDJ01000120.1	<>	na	Primary Assembly	3748	na
scaffold_121	unplaced-scaffold	na	na	VCDJ01000121.1	<>	na	Primary Assembly	2477	na
scaffold_122	unplaced-scaffold	na	na	VCDJ01000122.1	<>	na	Primary Assembly	8880	na
scaffold_123	unplaced-scaffold	na	na	VCDJ01000123.1	<>	na	Primary Assembly	11448	na
scaffold_124	unplaced-scaffold	na	na	VCDJ01000124.1	<>	na	Primary Assembly	11358	na
scaffold_125	unplaced-scaffold	na	na	VCDJ01000125.1	<>	na	Primary Assembly	11390	na
scaffold_126	unplaced-scaffold	na	na	VCDJ01000126.1	<>	na	Primary Assembly	11340	na
scaffold_127	unplaced-scaffold	na	na	VCDJ01000127.1	<>	na	Primary Assembly	11357	na
scaffold_128	unplaced-scaffold	na	na	VCDJ01000128.1	<>	na	Primary Assembly	6780	na
scaffold_129	unplaced-scaffold	na	na	VCDJ01000129.1	<>	na	Primary Assembly	4557	na
scaffold_130	unplaced-scaffold	na	na	VCDJ01000130.1	<>	na	Primary Assembly	11338	na
scaffold_131	unplaced-scaffold	na	na	VCDJ01000131.1	<>	na	Primary Assembly	4148	na
scaffold_132	unplaced-scaffold	na	na	VCDJ01000132.1	<>	na	Primary Assembly	5162	na
scaffold_133	unplaced-scaffold	na	na	VCDJ01000133.1	<>	na	Primary Assembly	1190	na
scaffold_134	unplaced-scaffold	na	na	VCDJ01000134.1	<>	na	Primary Assembly	3646	na
scaffold_135	unplaced-scaffold	na	na	VCDJ01000135.1	<>	na	Primary Assembly	5216	na
scaffold_136	unplaced-scaffold	na	na	VCDJ01000136.1	<>	na	Primary Assembly	3403	na
scaffold_137	unplaced-scaffold	na	na	VCDJ01000137.1	<>	na	Primary Assembly	7793	na
scaffold_138	unplaced-scaffold	na	na	VCDJ01000138.1	<>	na	Primary Assembly	11289	na
scaffold_139	unplaced-scaffold	na	na	VCDJ01000139.1	<>	na	Primary Assembly	1117	na
scaffold_140	unplaced-scaffold	na	na	VCDJ01000140.1	<>	na	Primary Assembly	2016	na
scaffold_141	unplaced-scaffold	na	na	VCDJ01000141.1	<>	na	Primary Assembly	3467	na
scaffold_142	unplaced-scaffold	na	na	VCDJ01000142.1	<>	na	Primary Assembly	7158	na
scaffold_143	unplaced-scaffold	na	na	VCDJ01000143.1	<>	na	Primary Assembly	3688	na
scaffold_144	unplaced-scaffold	na	na	VCDJ01000144.1	<>	na	Primary Assembly	362	na
scaffold_145	unplaced-scaffold	na	na	VCDJ01000145.1	<>	na	Primary Assembly	3981	na
scaffold_146	unplaced-scaffold	na	na	VCDJ01000146.1	<>	na	Primary Assembly	1549	na
scaffold_147	unplaced-scaffold	na	na	VCDJ01000147.1	<>	na	Primary Assembly	1860	na
scaffold_148	unplaced-scaffold	na	na	VCDJ01000148.1	<>	na	Primary Assembly	9396	na
scaffold_149	unplaced-scaffold	na	na	VCDJ01000149.1	<>	na	Primary Assembly	6792	na
scaffold_150	unplaced-scaffold	na	na	VCDJ01000150.1	<>	na	Primary Assembly	4476	na
scaffold_151	unplaced-scaffold	na	na	VCDJ01000151.1	<>	na	Primary Assembly	11233	na
scaffold_152	unplaced-scaffold	na	na	VCDJ01000152.1	<>	na	Primary Assembly	11231	na
scaffold_153	unplaced-scaffold	na	na	VCDJ01000153.1	<>	na	Primary Assembly	11223	na
scaffold_154	unplaced-scaffold	na	na	VCDJ01000154.1	<>	na	Primary Assembly	515	na
scaffold_155	unplaced-scaffold	na	na	VCDJ01000155.1	<>	na	Primary Assembly	4245	na
scaffold_156	unplaced-scaffold	na	na	VCDJ01000156.1	<>	na	Primary Assembly	11177	na
scaffold_157	unplaced-scaffold	na	na	VCDJ01000157.1	<>	na	Primary Assembly	8706	na
scaffold_158	unplaced-scaffold	na	na	VCDJ01000158.1	<>	na	Primary Assembly	2461	na
scaffold_159	unplaced-scaffold	na	na	VCDJ01000159.1	<>	na	Primary Assembly	11153	na
scaffold_160	unplaced-scaffold	na	na	VCDJ01000160.1	<>	na	Primary Assembly	11150	na
scaffold_161	unplaced-scaffold	na	na	VCDJ01000161.1	<>	na	Primary Assembly	11137	na
scaffold_162	unplaced-scaffold	na	na	VCDJ01000162.1	<>	na	Primary Assembly	5409	na
scaffold_163	unplaced-scaffold	na	na	VCDJ01000163.1	<>	na	Primary Assembly	5692	na
scaffold_164	unplaced-scaffold	na	na	VCDJ01000164.1	<>	na	Primary Assembly	2692	na
scaffold_165	unplaced-scaffold	na	na	VCDJ01000165.1	<>	na	Primary Assembly	5949	na
scaffold_166	unplaced-scaffold	na	na	VCDJ01000166.1	<>	na	Primary Assembly	5758	na
scaffold_167	unplaced-scaffold	na	na	VCDJ01000167.1	<>	na	Primary Assembly	1459	na
scaffold_168	unplaced-scaffold	na	na	VCDJ01000168.1	<>	na	Primary Assembly	11102	na
scaffold_169	unplaced-scaffold	na	na	VCDJ01000169.1	<>	na	Primary Assembly	11112	na
scaffold_170	unplaced-scaffold	na	na	VCDJ01000170.1	<>	na	Primary Assembly	11090	na
scaffold_171	unplaced-scaffold	na	na	VCDJ01000171.1	<>	na	Primary Assembly	11070	na
scaffold_172	unplaced-scaffold	na	na	VCDJ01000172.1	<>	na	Primary Assembly	11079	na
scaffold_173	unplaced-scaffold	na	na	VCDJ01000173.1	<>	na	Primary Assembly	5184	na
scaffold_174	unplaced-scaffold	na	na	VCDJ01000174.1	<>	na	Primary Assembly	3798	na
scaffold_175	unplaced-scaffold	na	na	VCDJ01000175.1	<>	na	Primary Assembly	1602	na
scaffold_176	unplaced-scaffold	na	na	VCDJ01000176.1	<>	na	Primary Assembly	11028	na
scaffold_177	unplaced-scaffold	na	na	VCDJ01000177.1	<>	na	Primary Assembly	4091	na
scaffold_178	unplaced-scaffold	na	na	VCDJ01000178.1	<>	na	Primary Assembly	1049	na
scaffold_179	unplaced-scaffold	na	na	VCDJ01000179.1	<>	na	Primary Assembly	5891	na
scaffold_180	unplaced-scaffold	na	na	VCDJ01000180.1	<>	na	Primary Assembly	1067	na
scaffold_181	unplaced-scaffold	na	na	VCDJ01000181.1	<>	na	Primary Assembly	9946	na
scaffold_182	unplaced-scaffold	na	na	VCDJ01000182.1	<>	na	Primary Assembly	6034	na
scaffold_183	unplaced-scaffold	na	na	VCDJ01000183.1	<>	na	Primary Assembly	4968	na
scaffold_184	unplaced-scaffold	na	na	VCDJ01000184.1	<>	na	Primary Assembly	942	na
scaffold_185	unplaced-scaffold	na	na	VCDJ01000185.1	<>	na	Primary Assembly	4820	na
scaffold_186	unplaced-scaffold	na	na	VCDJ01000186.1	<>	na	Primary Assembly	10954	na
scaffold_187	unplaced-scaffold	na	na	VCDJ01000187.1	<>	na	Primary Assembly	3963	na
scaffold_188	unplaced-scaffold	na	na	VCDJ01000188.1	<>	na	Primary Assembly	6965	na
scaffold_189	unplaced-scaffold	na	na	VCDJ01000189.1	<>	na	Primary Assembly	3235	na
scaffold_190	unplaced-scaffold	na	na	VCDJ01000190.1	<>	na	Primary Assembly	7663	na
scaffold_191	unplaced-scaffold	na	na	VCDJ01000191.1	<>	na	Primary Assembly	3040	na
scaffold_192	unplaced-scaffold	na	na	VCDJ01000192.1	<>	na	Primary Assembly	2125	na
scaffold_193	unplaced-scaffold	na	na	VCDJ01000193.1	<>	na	Primary Assembly	10903	na
scaffold_194	unplaced-scaffold	na	na	VCDJ01000194.1	<>	na	Primary Assembly	2277	na
scaffold_195	unplaced-scaffold	na	na	VCDJ01000195.1	<>	na	Primary Assembly	8623	na
scaffold_196	unplaced-scaffold	na	na	VCDJ01000196.1	<>	na	Primary Assembly	667	na
scaffold_197	unplaced-scaffold	na	na	VCDJ01000197.1	<>	na	Primary Assembly	341	na
scaffold_198	unplaced-scaffold	na	na	VCDJ01000198.1	<>	na	Primary Assembly	419	na
scaffold_199	unplaced-scaffold	na	na	VCDJ01000199.1	<>	na	Primary Assembly	2862	na
scaffold_200	unplaced-scaffold	na	na	VCDJ01000200.1	<>	na	Primary Assembly	10885	na
scaffold_201	unplaced-scaffold	na	na	VCDJ01000201.1	<>	na	Primary Assembly	10869	na
scaffold_202	unplaced-scaffold	na	na	VCDJ01000202.1	<>	na	Primary Assembly	2012	na
scaffold_203	unplaced-scaffold	na	na	VCDJ01000203.1	<>	na	Primary Assembly	2105	na
scaffold_204	unplaced-scaffold	na	na	VCDJ01000204.1	<>	na	Primary Assembly	7700	na
scaffold_205	unplaced-scaffold	na	na	VCDJ01000205.1	<>	na	Primary Assembly	3159	na
scaffold_206	unplaced-scaffold	na	na	VCDJ01000206.1	<>	na	Primary Assembly	955	na
scaffold_207	unplaced-scaffold	na	na	VCDJ01000207.1	<>	na	Primary Assembly	2108	na
scaffold_208	unplaced-scaffold	na	na	VCDJ01000208.1	<>	na	Primary Assembly	1602	na
scaffold_209	unplaced-scaffold	na	na	VCDJ01000209.1	<>	na	Primary Assembly	3300	na
scaffold_210	unplaced-scaffold	na	na	VCDJ01000210.1	<>	na	Primary Assembly	1243	na
scaffold_211	unplaced-scaffold	na	na	VCDJ01000211.1	<>	na	Primary Assembly	1649	na
scaffold_212	unplaced-scaffold	na	na	VCDJ01000212.1	<>	na	Primary Assembly	7903	na
scaffold_213	unplaced-scaffold	na	na	VCDJ01000213.1	<>	na	Primary Assembly	10454	na
scaffold_214	unplaced-scaffold	na	na	VCDJ01000214.1	<>	na	Primary Assembly	208	na
scaffold_215	unplaced-scaffold	na	na	VCDJ01000215.1	<>	na	Primary Assembly	670	na
scaffold_216	unplaced-scaffold	na	na	VCDJ01000216.1	<>	na	Primary Assembly	671	na
scaffold_217	unplaced-scaffold	na	na	VCDJ01000217.1	<>	na	Primary Assembly	483	na
scaffold_218	unplaced-scaffold	na	na	VCDJ01000218.1	<>	na	Primary Assembly	1261	na
scaffold_219	unplaced-scaffold	na	na	VCDJ01000219.1	<>	na	Primary Assembly	2536	na
scaffold_220	unplaced-scaffold	na	na	VCDJ01000220.1	<>	na	Primary Assembly	278	na
scaffold_221	unplaced-scaffold	na	na	VCDJ01000221.1	<>	na	Primary Assembly	1013	na
scaffold_222	unplaced-scaffold	na	na	VCDJ01000222.1	<>	na	Primary Assembly	278	na
scaffold_223	unplaced-scaffold	na	na	VCDJ01000223.1	<>	na	Primary Assembly	1112	na
scaffold_224	unplaced-scaffold	na	na	VCDJ01000224.1	<>	na	Primary Assembly	1444	na
scaffold_225	unplaced-scaffold	na	na	VCDJ01000225.1	<>	na	Primary Assembly	2441	na
scaffold_226	unplaced-scaffold	na	na	VCDJ01000226.1	<>	na	Primary Assembly	1662	na
scaffold_227	unplaced-scaffold	na	na	VCDJ01000227.1	<>	na	Primary Assembly	6376	na
scaffold_228	unplaced-scaffold	na	na	VCDJ01000228.1	<>	na	Primary Assembly	3495	na
scaffold_229	unplaced-scaffold	na	na	VCDJ01000229.1	<>	na	Primary Assembly	5202	na
scaffold_230	unplaced-scaffold	na	na	VCDJ01000230.1	<>	na	Primary Assembly	10791	na
scaffold_231	unplaced-scaffold	na	na	VCDJ01000231.1	<>	na	Primary Assembly	4061	na
scaffold_232	unplaced-scaffold	na	na	VCDJ01000232.1	<>	na	Primary Assembly	2134	na
scaffold_233	unplaced-scaffold	na	na	VCDJ01000233.1	<>	na	Primary Assembly	4221	na
scaffold_234	unplaced-scaffold	na	na	VCDJ01000234.1	<>	na	Primary Assembly	3795	na
scaffold_235	unplaced-scaffold	na	na	VCDJ01000235.1	<>	na	Primary Assembly	3098	na
scaffold_236	unplaced-scaffold	na	na	VCDJ01000236.1	<>	na	Primary Assembly	2178	na
scaffold_237	unplaced-scaffold	na	na	VCDJ01000237.1	<>	na	Primary Assembly	7547	na
scaffold_238	unplaced-scaffold	na	na	VCDJ01000238.1	<>	na	Primary Assembly	10067	na
scaffold_239	unplaced-scaffold	na	na	VCDJ01000239.1	<>	na	Primary Assembly	713	na
scaffold_240	unplaced-scaffold	na	na	VCDJ01000240.1	<>	na	Primary Assembly	503	na
scaffold_241	unplaced-scaffold	na	na	VCDJ01000241.1	<>	na	Primary Assembly	1579	na
scaffold_242	unplaced-scaffold	na	na	VCDJ01000242.1	<>	na	Primary Assembly	1993	na
scaffold_243	unplaced-scaffold	na	na	VCDJ01000243.1	<>	na	Primary Assembly	4935	na
